SubstationID,Region,InfrastructureAgeYears,CapacityMW,CurrentUtilizationPct,AnnualMaintenanceCost,OutagesLast5Years,ProjectedLoadGrowthPct,RiskScore
1158,North,42,733,93.32,294262.66,4,8.17,73.14
1159,North,1,403,70.14,985399.94,2,10.59,48.62
1160,Central,21,697,50.72,893633.08,4,0.81,37.24
1161,West,38,1073,103.31,996215.03,2,5.65,63.49
1162,East,44,1004,58.15,787149.74,2,3.89,48.82
1163,North,51,921,67.85,475485.79,5,6.55,68.85
1164,North,26,997,73.04,199497.9,0,5.01,42.33
1165,North,25,745,79.86,69967.58,2,9.13,58.22
1166,North,54,819,71.68,308668.6,2,6.57,62.24
1167,Central,52,709,89.06,255244.08,1,8.53,67.58
1168,South,10,707,49.09,352110.85,2,5.03,34.79
1169,Central,53,1302,100.83,760036.68,5,2.74,71.93
1170,South,44,318,85.52,126158.37,3,1.77,55.8
1171,North,13,788,78.49,649881.53,2,5.42,45.59
1172,North,45,514,56.44,431945.88,2,5.21,51.35
1173,South,10,840,66.38,147564.8,1,1.9,30.71
1174,East,37,328,89,516627.23,0,0.02,41.54
1175,South,10,621,90.3,123795.7,3,7.4,54.89
1176,North,29,971,75.3,954307.82,4,10.85,67.89
1177,South,31,921,59.97,327001.28,1,11.29,55.97
1178,East,7,463,95.05,226117.76,4,6.61,56.54
1179,East,45,1459,57.7,735300.71,4,5.91,59.13
1180,South,11,1291,99.49,830497.13,4,9.51,65.27
1181,North,49,490,68.52,863757.87,2,5.45,57.06
1182,North,37,1454,76.89,922668.8,2,3.49,50.85
1183,East,23,1498,103.5,184745.81,5,5.24,65.73
1184,West,21,1030,84.75,928631.07,0,10.94,55.7
1185,Central,48,340,59.06,228998.27,4,4.87,58.66
1186,South,13,869,45.7,356857.51,1,9.24,40.39
1187,East,1,1405,90.29,252679.01,3,1.43,39.35
1188,South,16,1027,78.84,174790.79,2,2.87,41.79
1189,South,2,1102,57.44,456572.6,2,4.69,33.41
1190,Central,29,466,92.48,833910.61,1,9.05,60.44
1191,East,3,434,48.78,956980.57,1,9.35,37.53
1192,South,49,1292,66.21,511733.09,3,7.12,62.7
1193,East,32,1462,76.35,121688.42,4,9.62,66.94
1194,West,42,561,46.53,218539.42,2,10.39,57.54
1195,South,18,1133,53.11,619998.96,4,11.08,57.29
1196,North,25,383,58.63,589289.21,3,2.66,41.91
1197,Central,38,349,97.53,333597.78,3,0.14,53.74
1198,Central,16,627,86.02,107129.2,2,5.75,49.71
1199,South,16,1130,98.1,975388.87,2,11.63,65.09
1200,East,4,1008,76.98,782020.36,3,8.31,50.31
1201,West,48,603,91.04,703097.57,3,10.37,76.25
1202,South,46,410,90.87,520954.16,1,6.09,60.84
1203,Central,33,403,68.84,292179.58,2,9.45,58.75
1204,South,6,1220,76.6,380418.44,1,4.91,38.2
1205,South,44,691,98.74,394630.64,1,11.33,72.88
1206,South,11,747,66.98,914890.1,5,9.66,58.81
1207,East,13,371,101.51,190502.47,3,2.17,48.99
1208,East,39,563,100.83,870889.92,3,0.03,54.91
1209,South,10,404,52.54,264751.37,0,5.7,31.16
1210,West,29,585,103.19,300594.3,2,3.19,54.94
1211,Central,28,1198,104.55,803990.83,0,2.88,48.32
1212,East,37,772,55.01,886648.59,3,7.24,54.78
1213,East,13,462,103.32,578858.54,2,8.84,59.88
1214,North,37,1260,98.88,585618.71,6,6.41,75.28
1215,Central,44,708,63.11,159865.35,0,0.9,38.33
1216,Central,46,673,68.91,353560.69,1,5.23,52.53
1217,West,53,553,75.45,896152.35,4,7.15,70.14
1218,East,43,606,86.74,565416.97,4,5.06,65.34
1219,South,35,417,98.58,186183.58,3,10.71,73.99
1220,West,13,957,95.81,926197.1,0,1.79,37.52
1221,West,11,978,59.98,179836.16,3,9.58,50.55
1222,West,42,937,68.58,461977.72,0,6.89,51.15
1223,Central,51,990,75.58,922083.61,2,7.38,63.83
1224,Central,49,601,72.68,330277.45,2,5.44,58.28
1225,West,45,1244,97.43,510659.28,2,5.46,64.15
1226,East,37,307,46.78,719998.08,3,10.97,59.77
1227,North,10,497,66.76,567667.13,2,3.26,36.55
1228,East,5,1030,86.91,834701.26,2,5.82,45.71
1229,North,4,1443,88.26,765062.54,1,6.7,44.48
1230,North,20,1246,54.38,752491.73,1,9.31,45.93
1231,Central,23,1067,100.36,488541.03,3,2.56,53.43
1232,North,43,778,49.94,376328.78,2,10.39,58.96
1233,West,22,584,59.48,772259.47,2,6.29,45.22
1234,West,20,1336,80.95,295226.44,6,11.55,73.38
1235,East,24,1058,50.62,623986.13,2,11,52.79
1236,Central,6,386,81.95,733735.23,2,11.59,56.16
1237,West,10,1137,104.32,988079.24,6,11.93,77.16
1238,South,48,1491,88.72,487117.48,1,6.93,62.68
1239,South,11,590,54.78,580247.48,0,7.66,36.15
1240,South,13,524,85.78,491056.61,2,10.09,57.11
1241,East,39,670,72.51,656946.39,3,11.56,69.47
1242,Central,11,876,60.72,132790.63,1,3.98,33.58
1243,East,4,687,52.15,600133.35,1,11.2,42.64
1244,East,7,663,54.3,616250.12,1,8.47,39.03
1245,South,24,1044,74.97,581527.44,1,6.09,47.27
1246,South,32,676,57.56,487952.07,5,3.65,52.37
1247,West,26,1497,88.85,793439.17,1,3.34,46.74
1248,Central,13,1145,48.77,639090.85,2,3.99,33.81
1249,West,12,1019,67.87,143999.62,3,3.27,40.7
1250,West,46,671,54.47,264760.11,4,1.48,49.7
1251,East,2,360,101.29,905404.65,3,2.08,44.35
1252,East,19,824,46.56,719627.85,3,0.28,31.13
1253,Central,50,676,87.63,791802.91,2,3.49,59.27
1254,East,6,1362,83.8,677642.58,1,9.14,48.82
1255,East,14,1462,72.14,168397.07,3,1.41,39.06
1256,West,10,1169,103.62,155683.98,3,8.45,60.99
1257,North,35,441,103.45,757372.69,4,3.62,64.27
1258,East,13,432,96.98,946613.63,3,7.56,58.41
1259,Central,31,645,58.85,551251.96,3,8.67,56.4
1260,North,51,748,79.03,796289.5,2,5.11,60.33
1261,East,54,603,51.03,406451.67,4,4.5,57.91
1262,Central,7,884,85.07,649680.65,2,8.54,51.4
1263,Central,25,1416,70.8,299770,2,10.98,59.2
1264,East,1,990,58.17,586382.43,3,4.49,35.83
1265,West,7,1382,91.84,708014.5,2,9.92,56.19
1266,South,28,1456,80.66,242047.94,2,1.59,44.58
1267,Central,33,807,56.02,729134.25,2,0.06,36.13
1268,Central,1,1302,81.21,732888.5,2,7.85,46.46
1269,South,41,656,51.92,146849.01,3,8.36,57.7
1270,South,30,1094,96.69,560703.59,2,4.53,56.07
1271,East,25,497,51.45,543318.44,3,5.32,45.08
1272,North,42,1362,57.04,854389.64,3,8.55,60.01
1273,West,53,862,51.27,834449.4,2,6.91,56.4
1274,Central,26,697,94.7,523865.06,5,0.41,54.63
1275,South,12,1325,50.84,784102.43,5,0.54,36.13
1276,South,28,1242,69.06,442773.24,0,8.19,48.3
1277,Central,18,1006,75.51,644303.72,4,3.06,47.97
1278,South,36,747,55.96,214730.42,6,6.38,61.95
1279,South,25,534,45.68,965893.62,1,10.79,48.28
1280,West,11,1351,94.04,940299.52,2,7.71,54.03
1281,Central,11,1289,53.85,208721.66,3,8.69,46.94
1282,North,31,1489,96.06,499452.71,3,0.68,51.58
1283,Central,31,505,65.56,70134.43,4,10.88,65.83
1284,North,22,1113,48.87,448932.63,5,5.06,48.58
1285,North,29,813,65.34,668789.59,2,9.75,56.7
1286,South,54,1304,53.66,975955.59,2,2.59,48.88
1287,West,7,838,85.94,989815.97,1,2.76,37.1
1288,Central,37,736,80.86,616223.17,3,6.89,61.84
1289,West,18,436,60.45,476515.34,2,7.24,45.82
1290,North,20,1001,104.28,554776.59,4,10.22,71.72
1291,South,19,551,94.9,712903.14,2,5.1,52.27
1292,West,15,411,95.2,214848.59,4,10.92,68.4
1293,South,12,1007,102.87,358749.96,3,7.94,60.54
1294,East,14,693,89.63,508692.37,4,7.03,58.55
1295,North,13,1286,68.15,252286.1,2,8.25,48.14
1296,East,48,869,81.99,704615.97,2,7.89,65.58
1297,South,9,689,86.81,869611.86,0,3.5,36.64
1298,South,46,598,57.91,589640.79,4,7.37,62.51
1299,North,32,995,92.93,332495.03,1,4.22,52.12
1300,East,18,1287,100.62,641311.84,6,2.65,60.69
1301,Central,47,1352,57.69,126599.83,1,0.17,39.45
1302,East,15,985,76.11,761779.45,3,5.29,48.41
1303,South,9,477,60.87,291170.23,3,7.51,45.88
1304,West,45,613,93.76,373090.74,3,3.05,61.23
1305,Central,39,481,81.59,707264.22,0,5.19,50.46
1306,Central,26,1072,52.93,419225.15,4,10.82,59.92
1307,West,10,1384,80.79,511443.1,3,4.63,46.5
1308,South,46,524,47.62,237177.27,2,4.33,47.35
1309,North,22,1102,87.46,101228.48,3,10,64.04
1310,North,4,788,90.48,952242.91,3,7.88,53.5
1311,North,11,869,91.64,139519.97,2,11.35,60.59
1312,Central,27,1165,80.13,680873.37,4,0.58,48
1313,Central,24,1020,82.69,478226.32,2,5.29,50.99
1314,North,3,1133,57.59,515983.27,2,4.65,33.78
1315,Central,35,638,46.62,436502.18,4,10.7,61.39
1316,North,11,900,48.78,238758.77,2,11.18,47.39
1317,East,3,387,74.51,784205.04,4,8.84,53.23
1318,West,11,423,73.68,678331.93,3,0.54,36.58
1319,West,29,952,66.62,492590.07,4,6.12,55.83
1320,East,17,461,64.45,482154.53,7,6.24,59.62
1321,Central,18,1016,95.88,376562.39,3,5.32,55.6
1322,Central,5,1135,101.88,105456.27,3,11.16,63.88
1323,West,22,1395,75.24,359444.04,2,5.7,48.77
1324,East,47,586,46.43,414154.43,6,2.89,56.51
1325,North,22,753,63.37,717155.58,3,3.98,44.77
1326,South,41,1128,98.18,136404.59,1,5.91,60.67
1327,West,5,633,93,447810.54,1,4.07,41.04
1328,Central,42,619,95.21,59947.58,3,8.13,70.62
1329,Central,1,857,70.05,937724.13,3,5.41,41.24
1330,East,28,1086,75.14,810075.14,1,6.33,49.4
1331,West,46,1436,64.81,134395.05,4,9.07,67.98
1332,West,43,383,96.66,709538.42,3,6.47,68.14
1333,East,3,1115,91.41,805533.04,1,5.02,41.66
1334,West,23,1449,67.97,816151.65,6,3.84,55.27
1335,Central,6,1172,47.58,842848.17,2,4.5,31.67
1336,North,11,1431,53.28,749633.33,3,0.47,30.32
1337,East,4,1445,80.41,127597.94,1,9.87,48.46
1338,West,9,1431,89.94,858613.09,2,0.1,36.78
1339,South,51,1371,101.95,344897.7,3,2.71,65.4
1340,North,39,398,93.84,64492.73,3,6.13,65.01
1341,South,53,794,86.41,996680.69,2,3.44,60
1342,West,9,327,101.46,982655.06,2,1.41,42.86
1343,North,20,1480,78.76,277240.37,2,8.42,54.47
1344,East,19,1362,56.73,201164.99,2,8.78,48.18
1345,East,28,634,56.4,642098.53,1,11.29,53.7
1346,East,28,786,77.1,944731.92,2,5.49,51.31
1347,East,26,1366,95.98,775372.38,3,6.33,60.85
1348,Central,19,1462,86.53,554240.78,2,9.14,57.84
1349,East,48,1353,84.44,291682.47,2,2.11,54.75
1350,Central,26,400,49.23,943029.15,3,8.24,50.65
1351,East,20,1400,83.61,252873.23,1,1.15,38.38
1352,North,45,812,54.39,303043.97,4,0.63,47.58
1353,North,9,1268,97.09,825345.4,2,5.43,49.59
1354,East,1,505,45.36,938645.9,4,1.75,29.51
1355,Central,10,1038,73.66,236703.61,1,11.74,52.58
1356,North,32,1030,62.78,665797.36,2,9.5,56.63
1357,Central,44,523,99.44,960178.21,4,4.07,67.57
1358,West,20,1351,92.07,340083.86,0,1.55,38.72
1359,Central,54,737,77.88,286718.46,5,0.06,60.08
1360,East,26,1219,70.38,546143.03,4,4.21,51.93
1361,North,26,787,74.3,294250.4,3,1.88,45.45
1362,West,23,1427,92.14,715243.1,4,9.55,67.94
1363,Central,14,451,93.21,718819.38,5,10.16,68.88
1364,East,29,1107,63.01,753819.52,1,9.44,52.38
1365,East,6,1263,94.15,373650.9,1,9.38,52.4
1366,Central,19,759,45.61,919098.8,0,0.78,22.84
1367,North,16,826,80.99,371305.74,2,5,46.7
1368,South,46,1158,50.44,60717.29,5,4.73,57.99
1369,North,35,932,78.41,253003.54,3,2.57,51.66
1370,South,48,1436,68.17,108707.48,1,11.2,65.05
1371,South,13,517,94.97,700710.49,2,9.31,58.31
1372,South,16,1237,49.13,607772.91,3,3.43,37
1373,South,20,925,89.14,471611.79,1,9.95,57.64
1374,Central,38,1049,50.85,405834.32,5,1.17,47.8
1375,South,25,606,78.97,937409.99,5,3.22,55.13
1376,South,35,802,80.71,857971.1,1,8.2,57.61
1377,North,4,470,102.74,812826.68,5,11.81,71.04
1378,North,54,665,74.79,948399.31,1,0.48,48
1379,South,40,367,58.6,685829.78,3,4.6,51.78
1380,Central,25,402,76.87,206064.88,4,1.15,47.36
1381,West,26,364,104.46,160075,1,2.48,49.7
1382,North,16,1077,54.44,433454.14,3,6.12,43.97
1383,West,35,956,83.65,697274.29,3,9.73,67.56
1384,North,22,1055,45.15,841754.38,2,0.37,29.08
1385,South,33,1468,94.84,971029.33,1,7.23,59.11
1386,West,23,1134,77.31,860462.05,2,3.28,44.95
1387,East,46,1079,78.63,878844.94,3,0.26,51.51
1388,Central,9,624,63.36,778007.21,1,5.64,36.89
1389,East,27,1235,46.84,345337.25,0,8.2,41.25
1390,North,13,720,76.49,406959.4,4,11.38,62.91
1391,North,16,650,92.79,492018.54,1,2.85,42.94
1392,Central,9,760,51.65,608245.3,1,5.96,34.02
1393,East,6,1097,95.94,687093.64,2,5.51,48.2
1394,South,34,1142,64.19,667098.06,4,6.67,58.2
1395,North,7,1091,55.26,174773.67,2,9.54,44.46
1396,Central,10,1210,92.96,602084.04,2,3.63,45.15
1397,East,17,862,79.4,712626.72,2,7.61,51.84
1398,South,25,759,80.68,831728.9,1,11.04,59.28
1399,South,2,686,101,995402.52,3,4.02,48.14
1400,West,18,1312,100.6,201800.65,3,9.18,64.74
1401,West,47,980,89.32,838846.37,0,2.64,50.88
1402,North,47,943,92.2,908181.82,3,11.75,78.96
1403,South,19,1317,64.94,524974.92,3,8.25,52.58
1404,South,51,664,74.45,870013.47,1,0.2,46.14
1405,North,51,464,65.42,175004.36,0,8.42,56.87
1406,North,8,1026,84.22,888457.76,2,9.37,53.21
1407,North,25,1299,86.39,545183.54,1,10.66,60.24
1408,West,24,894,52.96,258937,6,4.4,52.29
1409,North,28,306,95.77,256174.94,2,11.81,69.55
1410,Central,35,1468,47.56,355662.24,2,2.89,40.05
1411,West,43,483,91.32,968231.78,5,1.62,62.84
1412,West,49,520,66.65,340930.22,0,10.79,61.18
1413,West,6,1024,50.77,769951.18,1,3.81,28.25
1414,Central,20,470,50.71,872457.4,6,5.39,51.99
1415,East,35,1411,82.12,541775.64,2,11.03,66.7
1416,West,28,1419,80.27,206098.14,2,0.75,42.78
1417,South,27,347,104.01,287026.73,5,3.32,63.64
1418,South,23,448,75.64,989403.19,4,8.5,60.89
1419,South,48,350,81.84,770228.81,0,8.24,60.23
1420,Central,32,905,88.1,381606.95,0,2.23,43.69
1421,South,48,752,48.55,743000.89,2,8.5,56.76
1422,Central,21,1011,88.69,222982.9,3,11.2,66.41
1423,North,16,777,85.96,903122.72,2,4.59,47.37
1424,West,3,630,84.88,391314.68,3,1.14,37.94
1425,South,26,939,47.84,771284.42,1,9.41,46.57
1426,South,4,1103,71.45,72471.75,5,10.94,59.91
1427,West,31,438,68.18,686212.56,4,4.44,53.73
1428,West,21,1107,46.85,413878.17,2,11.99,52.44
1429,Central,30,1332,76.9,427351.55,1,1.85,41.77
1430,North,15,1304,96.63,157963.11,4,10.39,67.77
1431,South,14,1399,46.71,915663.5,4,3,37.61
1432,South,51,1127,98.82,117506.94,2,7.16,70.37
1433,North,1,1236,61.19,576750.94,4,4.78,40.32
1434,North,52,410,94.66,860125.58,3,10.34,78.88
1435,North,20,1413,66.4,530170.45,1,6.71,44.34
1436,North,44,1251,103.07,650580.41,4,5.07,70.66
1437,West,13,515,50.14,410216.98,4,3.03,38.3
1438,West,36,868,96.76,203759.52,5,3.96,66.35
1439,Central,23,1230,77,378530.39,3,9.69,60.68
1440,South,2,1458,104.18,690438.13,3,11.3,63.65
1441,South,50,1108,63.05,442255.08,2,5.74,56.4
1442,Central,24,918,73.65,514255.41,3,9.32,59.34
1443,East,51,873,79.2,442233.17,2,4.92,60
1444,West,31,832,93.27,53778.47,3,2.45,54.28
1445,West,48,1014,92.84,127509.19,6,9.08,83.21
1446,Central,40,619,66.72,57753.16,3,8.04,61.1
1447,East,42,1345,81.8,586831.1,6,0.82,60.98
1448,East,5,1341,48.95,230826.94,2,9.3,41.28
1449,South,2,654,87.9,79392.34,5,2.12,46.41
1450,South,19,687,98.18,102508.21,1,8.44,56.93
1451,North,40,1445,99.65,276892.76,3,6,66.9
1452,North,20,581,53.55,575505.21,5,9.28,57.62
1453,Central,43,1408,58.86,429578.7,3,6.92,57.7
1454,East,32,551,48.81,416984.04,4,11.08,61.6
1455,West,19,533,53.59,81738.4,3,7.08,46.84
1456,Central,43,530,71.72,478000.12,3,7.49,62.7
1457,North,27,635,53.95,434698.77,4,2.28,43.54
1458,South,40,1461,60.4,599905.06,3,2.23,47.58
1459,West,32,701,55.21,826804.16,5,7.53,59.42
1460,South,47,725,51.55,649057.35,0,7.1,48.46
1461,South,34,1022,60.45,932521.83,3,2.17,45.08
1462,East,16,1395,68.01,861179.52,3,4.17,44.14
1463,Central,7,1406,75.97,668077.32,1,5.86,40.31
1464,Central,5,361,62.54,692392.27,6,5.62,50
1465,South,27,350,98.7,378551.47,2,9.89,66.19
1466,North,19,1484,61.65,339549.1,3,6.42,47.94
1467,East,4,1168,94.96,466565.13,1,3.9,40.89
1468,South,36,800,87.26,138006.27,2,0.36,47.3
1469,North,16,709,90.55,853268.05,3,9.11,60.78
1470,East,12,890,75.99,257712.3,1,7.39,45.38
1471,East,31,899,47.12,359303.76,2,10.33,53.2
1472,East,18,1086,57.83,518980.78,4,1.02,38.59
1473,Central,46,967,94.17,422504.24,3,2.61,60.87
1474,South,5,1391,90.17,694987.43,5,2.83,49.71
1475,Central,50,536,46.3,448157.85,1,10.68,58.25
1476,East,2,511,91.56,237011.62,3,8.26,53.79
1477,East,52,1490,97.44,409200.33,1,5.8,64.63
1478,West,53,1338,85.39,801078.09,3,2.96,61.74
1479,East,31,1313,79.39,329431.27,2,11.8,65.82
1480,Central,50,658,69.61,397576.97,4,7.59,68.06
1481,North,30,1328,74.29,493743.53,4,5.46,57.21
1482,West,39,1393,75.47,859915.09,4,3.08,56.4
1483,East,35,615,67.08,666307.26,1,11.54,60.2
1484,North,52,1205,53.19,642903.09,4,2.61,53.98
