EventID,Region,CustomerType,PeakDemandBeforeMW,PeakDemandAfterMW,DemandReductionMW,ProgramCost
119,South,Residential,1929.03,1721.1,207.93,21017.92
120,North,Industrial,2146.67,2040.29,106.38,55253.38
121,West,Commercial,1135.83,1070.95,64.88,86195.79
122,West,Residential,1371.74,1332.15,39.59,9366.88
123,Central,Commercial,593.89,562.83,31.06,76964.97
124,West,Commercial,958.81,806.81,152,29677.18
125,North,Residential,2398.79,2005.45,393.34,94573.89
126,East,Industrial,1105.15,992.36,112.79,30327.5
127,South,Industrial,1275.92,1040.04,235.88,46221.35
128,North,Commercial,1978.59,1749.16,229.43,67635.39
129,West,Residential,2375.2,2082.14,293.06,54118.39
130,South,Residential,2011.22,1834.32,176.9,68395.47
131,Central,Residential,859.26,769.75,89.51,50566.54
132,East,Residential,765.17,733.2,31.97,39972.71
133,North,Residential,2446.69,2117.93,328.76,15888.79
134,North,Industrial,1742.56,1619.12,123.44,90755.28
135,Central,Industrial,1479.64,1310.48,169.16,41001.94
136,East,Residential,1047.63,896.85,150.78,50685
137,South,Industrial,1984,1845.33,138.67,22515.23
138,South,Commercial,1568.29,1403.12,165.17,42570.75
139,East,Residential,1894.54,1518.59,375.95,35185.76
140,West,Industrial,1969.5,1852.06,117.44,85586.62
141,West,Commercial,1297.46,1129.04,168.42,41720.18
142,North,Residential,2303.52,1928.4,375.12,9707.19
143,South,Commercial,789.27,658.71,130.56,80731.16
144,East,Industrial,1948.41,1757.89,190.52,7368.9
145,North,Commercial,1073.12,948.17,124.95,56260.89
146,East,Commercial,1474.46,1235.22,239.24,71827.31
147,West,Industrial,1320.25,1223.76,96.49,95506.2
148,South,Residential,605.56,550.18,55.38,9484.54
149,East,Residential,1326.44,1219.57,106.87,19910.53
150,North,Industrial,1539.87,1265.79,274.08,46243.54
151,Central,Residential,1577.79,1537.97,39.82,8286.29
152,Central,Industrial,1945.08,1737.96,207.12,43633.1
153,West,Industrial,1501.92,1339.02,162.9,14268.4
154,West,Industrial,1856.98,1632.48,224.5,91739.95
155,North,Residential,1107.61,1019.85,87.76,30114.36
156,North,Industrial,950.57,916.53,34.04,6952.35
157,South,Industrial,1871.27,1676.29,194.98,84359.14
158,North,Industrial,2316.21,2068.04,248.17,97238.02
159,Central,Residential,1075.58,978.1,97.48,55089.18
160,West,Residential,1071.05,874.39,196.66,54303.36
161,North,Residential,1725.38,1410.21,315.17,66323.92
162,North,Commercial,2451.13,2113.87,337.26,82954.95
163,North,Commercial,2059.92,1972.92,87,30166.15
164,East,Industrial,1268.38,1135.43,132.95,10521.34
165,West,Residential,2398.29,2081.25,317.04,37896.81
166,South,Commercial,662.31,623.3,39.01,90135.71
167,Central,Industrial,1523.78,1275.54,248.24,25342.38
168,West,Industrial,1843.97,1623.61,220.36,5348.03
169,East,Industrial,1485.28,1400.71,84.57,42518.61
170,East,Commercial,711.13,625.47,85.66,63375.49
171,West,Industrial,1270.24,1081.61,188.63,43283.65
172,North,Industrial,1515.21,1317.59,197.62,43807.94
173,South,Commercial,1444.13,1343.63,100.5,45960.9
174,Central,Commercial,2471.25,2148.22,323.03,90011.78
175,South,Commercial,2381.35,2044.18,337.17,48818.36
176,Central,Industrial,679.14,549.53,129.61,40152.55
177,Central,Residential,2139.6,1782.09,357.51,11845.28
178,East,Commercial,1482.1,1325.34,156.76,74919.03
179,East,Industrial,2363.84,2081.13,282.71,83611.47
180,East,Industrial,1406.58,1319.2,87.38,93126.51
181,West,Industrial,536.31,477.12,59.19,27288.78
182,South,Residential,2453.32,2061.25,392.07,7989.98
183,Central,Residential,1611.17,1352.29,258.88,43028.51
184,East,Residential,912.27,859.98,52.29,68650.21
185,South,Industrial,990.82,856.36,134.46,57091.83
186,South,Industrial,1730.75,1618.3,112.45,34383.91
187,West,Industrial,2139.41,1976.94,162.47,87032.5
188,East,Commercial,1031.6,962.52,69.08,72658.26
189,West,Industrial,887.98,751.84,136.14,88212.88
190,West,Residential,2230.82,2033.25,197.57,36575.87
191,North,Residential,2161.32,1824.14,337.18,62519.9
192,West,Commercial,623.7,586.17,37.53,37369.48
193,Central,Commercial,1636.45,1520.93,115.52,39506.21
194,Central,Industrial,2148.22,1846.59,301.63,60330.57
195,North,Residential,524.68,466.04,58.64,71085.56
196,West,Commercial,2486.49,2246.49,240,33840.49
197,South,Residential,1605.59,1360.61,244.98,37082.84
198,East,Industrial,1127.15,1099.76,27.39,18334.98
199,West,Residential,1099.5,958.56,140.94,23992.94
200,South,Commercial,610.57,579.7,30.87,24087.82
201,North,Commercial,2124.91,1833.37,291.54,14010.68
202,Central,Industrial,2451.76,2133.2,318.56,24803.95
203,East,Commercial,1115.94,1052.94,63,5255.15
204,Central,Commercial,962.15,789.87,172.28,73580.78
205,East,Commercial,2021.59,1688.07,333.52,96950.85
206,East,Residential,1307.26,1124.98,182.28,60991.33
207,East,Commercial,556.34,520.1,36.24,67587.89
208,West,Residential,1306.42,1178.22,128.2,10485.8
209,East,Residential,1700.55,1542.45,158.1,70575.92
210,North,Residential,1373.62,1198.78,174.84,26760.49
211,West,Industrial,540.32,444.02,96.3,49781.42
212,North,Industrial,630.14,616.9,13.24,73116.18
213,Central,Industrial,933.25,876.9,56.35,30408.5
214,North,Residential,1600.85,1558.43,42.42,60479.92
215,South,Residential,835.95,773.68,62.27,90784.96
216,North,Residential,1652.4,1366.52,285.88,89111.67
217,West,Residential,835.23,673.87,161.36,39184.95
218,West,Residential,982.26,834.8,147.46,29076.95
219,Central,Commercial,1829.25,1641.14,188.11,98861.67
220,South,Commercial,2400.38,2023.29,377.09,12480.18
221,West,Residential,1703.5,1372.03,331.47,82019.77
222,Central,Industrial,1257.74,1018.02,239.72,40683.49
223,East,Industrial,1792.02,1474.24,317.78,54269.78
224,Central,Industrial,2233.91,1835.06,398.85,94587.18
225,South,Industrial,1806.42,1503.9,302.52,56486.44
226,North,Industrial,1116.81,929.78,187.03,27969.06
227,East,Commercial,1914.19,1652.65,261.54,12202.63
228,West,Industrial,1390.91,1306.21,84.7,37576.14
229,West,Industrial,2337.19,2105.53,231.66,86282.24
230,North,Commercial,2467.07,2244.09,222.98,20557.67
231,East,Commercial,1349.92,1183.54,166.38,29176.4
232,East,Residential,2364.48,2169.56,194.92,19297.2
233,Central,Industrial,1704.13,1427.35,276.78,75976.69
234,West,Industrial,1282.27,1093.95,188.32,70090.49
235,Central,Commercial,1476.67,1233.28,243.39,79292.32
236,East,Commercial,574.5,476.48,98.02,64148.23
237,East,Industrial,2327.35,2090.58,236.77,87285.96
238,Central,Residential,954.83,779.08,175.75,68935.26
239,Central,Residential,632.62,572.41,60.21,12723.93
240,East,Commercial,520.94,455.74,65.2,96469.29
241,West,Commercial,2038.51,1697.58,340.93,12298.01
242,Central,Industrial,1285.57,1212.43,73.14,72624.24
243,East,Commercial,1187.57,974.69,212.88,67475.7
244,South,Residential,509.32,414.8,94.52,17181.46
245,East,Residential,1863.55,1816.43,47.12,11544.74
246,West,Commercial,648.25,598.42,49.83,24183.02
247,South,Commercial,1776.84,1720.3,56.54,90752.57
248,North,Residential,2215.95,1917.8,298.15,37789.44
249,Central,Commercial,2264.11,2167.24,96.87,34936.87
250,South,Residential,1124.3,1067.89,56.41,99364.4
251,South,Residential,640.48,566.72,73.76,53629.84
252,South,Commercial,1338.99,1098.53,240.46,46509.43
253,East,Residential,1562.37,1344.79,217.58,13856.97
254,Central,Commercial,1023.06,828.5,194.56,82481.98
255,East,Commercial,1648.35,1325.83,322.52,97441.16
256,North,Commercial,2172.66,2057.33,115.33,54581.54
257,East,Residential,2477.22,2020.61,456.61,85715.77
258,South,Industrial,1540.12,1369.48,170.64,91276.14
259,South,Residential,1743.37,1578.91,164.46,28581.38
260,South,Industrial,508.21,421.39,86.82,23672.68
261,East,Industrial,525.23,443.71,81.52,79580.51
262,North,Residential,1881.68,1506.16,375.52,75675.5
263,North,Industrial,2271.16,2109.07,162.09,8136.47
264,South,Residential,722.85,641.39,81.46,55317.59
265,East,Residential,1470.68,1228.73,241.95,8270.2
266,North,Residential,1260.44,1089.52,170.92,71559.21
267,East,Residential,2481.56,2053.49,428.07,55839.28
268,West,Industrial,1692.62,1361.35,331.27,78434.53
269,North,Industrial,1768.1,1526.08,242.02,42106.05
270,North,Industrial,646.45,596.98,49.47,70656.08
271,North,Commercial,734.17,669.31,64.86,38049.24
272,West,Commercial,2314.94,2190.66,124.28,73578.59
273,North,Residential,2208.85,1857.59,351.26,78143.96
274,East,Residential,957.89,780.98,176.91,48090.27
275,Central,Commercial,708.46,660.25,48.21,82134.36
276,Central,Industrial,967.47,898.52,68.95,17322.32
277,Central,Industrial,1164.37,1040.3,124.07,72939.9
278,North,Residential,1386.8,1312.47,74.33,34696.89
279,North,Commercial,1579.95,1333.31,246.64,5498.65
280,West,Residential,2318.5,2222.05,96.45,5777.27
281,Central,Residential,992.37,816.44,175.93,54743.58
282,South,Industrial,1696.52,1529.47,167.05,66398.77
283,Central,Industrial,670.94,611.15,59.79,38455.64
284,North,Commercial,645.09,541.95,103.14,83621.1
285,West,Commercial,1373.86,1337.26,36.6,19777.42
286,North,Commercial,1897.54,1613.96,283.58,35034.85
287,Central,Industrial,1642.38,1413.39,228.99,61968.74
288,South,Residential,1662.38,1582.57,79.81,32245.91
289,North,Industrial,1466.63,1326.64,139.99,95997.12
290,North,Commercial,1806.26,1475.34,330.92,84356.6
291,South,Industrial,662.77,601.68,61.09,96731.51
292,East,Commercial,535.78,487.61,48.17,88237.91
293,North,Residential,1879.42,1740.41,139.01,93276.47
294,South,Residential,2252.32,1915.12,337.2,54033.06
295,South,Residential,2333.09,1930.23,402.86,87053.59
296,South,Residential,1473.92,1181.99,291.93,55743.79
297,West,Industrial,748.45,709.81,38.64,8101.26
298,West,Industrial,2199.38,1832.68,366.7,34400.6
299,Central,Commercial,759.98,613.99,145.99,50324.12
300,North,Industrial,2244.12,1830.49,413.63,64789.98
301,South,Commercial,1306.64,1054.09,252.55,77786.04
302,East,Commercial,817.58,674.85,142.73,17345.92
303,South,Commercial,1968.2,1657.01,311.19,74837.09
304,East,Residential,663.68,537.55,126.13,38125.29
305,North,Commercial,1790.32,1577.23,213.09,88212.08
306,South,Residential,2116.1,1808.47,307.63,66090.62
307,East,Residential,541.13,440.24,100.89,80354.74
308,South,Commercial,2322.49,1927.77,394.72,23205.92
309,Central,Commercial,1525.3,1274.98,250.32,30164.97
310,Central,Residential,518.74,455.64,63.1,57195.36
311,North,Residential,1311.02,1271.36,39.66,34005.91
312,North,Residential,1780.6,1685.67,94.93,86012.47
313,North,Residential,1342.62,1135.74,206.88,88391.4
314,East,Commercial,2268.59,1980.85,287.74,14557.28
315,Central,Residential,862.07,813.43,48.64,13700.01
316,South,Industrial,908.24,783.33,124.91,22382.38
317,South,Residential,1244.68,1090.67,154.01,96842.92
318,South,Residential,1547.37,1280.81,266.56,47911.03
319,South,Industrial,876.34,754.44,121.9,65006.9
320,South,Residential,2371.75,2316.04,55.71,91008.99
321,East,Commercial,1595.6,1362.44,233.16,50296.76
322,Central,Residential,1573.65,1409.42,164.23,54455.43
323,Central,Industrial,981.82,808.6,173.22,47172.22
324,East,Residential,2057.09,1835.13,221.96,19050.48
325,East,Industrial,990.08,867.88,122.2,13406.54
326,North,Residential,2242.91,2138.79,104.12,13304.64
327,West,Commercial,2056.28,1890.73,165.55,47809.73
328,East,Commercial,2337.58,2002.16,335.42,61087.99
329,North,Residential,1090.43,933.26,157.17,32790.96
330,South,Industrial,2336.61,1996.42,340.19,85666.39
331,Central,Residential,1951.29,1725.68,225.61,25223.82
332,Central,Commercial,1033.22,929.41,103.81,96806.55
333,North,Industrial,911.78,777.55,134.23,72308.69
334,North,Industrial,1426.3,1169.69,256.61,42757.53
335,South,Commercial,2261.66,1906.67,354.99,89487.95
336,East,Industrial,1632.78,1582.51,50.27,11581
337,Central,Residential,728.93,600.77,128.16,10945.59
338,Central,Commercial,1714.95,1638.87,76.08,72806.38
339,South,Commercial,2293.89,1840.5,453.39,18523.1
340,Central,Commercial,1948.21,1811.36,136.85,22288.18
341,Central,Residential,1507.8,1381.73,126.07,6672.65
342,South,Residential,2066.36,1981.15,85.21,50505.17
343,Central,Commercial,1345.18,1179.08,166.1,64869.47
344,South,Industrial,1724.24,1562.93,161.31,66970.53
345,West,Residential,1803.77,1671.14,132.63,83167.33
346,Central,Commercial,1116.96,997.41,119.55,12167.34
347,North,Residential,2083.09,1913.1,169.99,22450.15
348,West,Commercial,2070.42,1757.94,312.48,48166.98
349,West,Commercial,1775.43,1610.64,164.79,10268.48
350,East,Industrial,2330.81,2141.61,189.2,81743.17
351,East,Commercial,1543.24,1354.41,188.83,38484.28
352,Central,Residential,2015.62,1777.62,238,61316.12
353,North,Residential,1301.62,1261.9,39.72,68049.04
354,South,Industrial,1835.04,1776.83,58.21,23291.21
355,Central,Industrial,543.89,446.61,97.28,83603.66
356,South,Commercial,2123.09,2004.61,118.48,86049.57
357,South,Industrial,1630.35,1406.93,223.42,67325.48
358,West,Industrial,1963.9,1676.64,287.26,50926.12
359,North,Commercial,1990.22,1838.92,151.3,94798.42
360,South,Industrial,1728.55,1420.2,308.35,36177.13
361,East,Commercial,529.05,435.49,93.56,43032.51
362,North,Commercial,2178.54,1946.49,232.05,92336.96
363,Central,Commercial,1490.65,1258.54,232.11,46304.92
364,North,Commercial,1881.32,1662.83,218.49,63358.64
365,South,Industrial,2296.23,2228.93,67.3,23145.34
366,North,Residential,1634,1579.41,54.59,36192.43
367,West,Industrial,1153.21,1116.38,36.83,39879.22
368,West,Residential,2362.94,2165.56,197.38,48184.63
369,Central,Industrial,1740.29,1569.59,170.7,14457.34
370,North,Commercial,803.69,670.39,133.3,70962.49
371,Central,Commercial,1014.42,952.63,61.79,74571.82
372,East,Industrial,1002.69,898.44,104.25,48446.37
373,East,Residential,2076.61,1815.86,260.75,36605.01
374,South,Commercial,2253.8,1923.66,330.14,6088.78
375,East,Residential,1648.86,1609.17,39.69,71414.34
376,North,Commercial,1361.12,1235.35,125.77,68859.09
377,North,Industrial,1981.24,1719.31,261.93,34465.47
378,West,Commercial,2093.29,1891.05,202.24,78335.42
379,South,Industrial,739.1,593.13,145.97,40582.1
380,East,Residential,1720.99,1643.25,77.74,10344.06
381,East,Industrial,2498.93,2256.45,242.48,80361.15
382,East,Industrial,2198.23,2144.1,54.13,11758.98
383,East,Residential,2487.73,2286.26,201.47,44695.2
384,North,Residential,1879.11,1688.29,190.82,91129.55
385,Central,Residential,2144.85,1765.09,379.76,63374.11
386,Central,Residential,2030.02,1798.52,231.5,74360.36
387,East,Commercial,2497.03,2417.99,79.04,27068.92
388,Central,Commercial,893.49,776.27,117.22,47888.71
389,North,Industrial,1986.99,1671.93,315.06,46576.83
390,North,Residential,1618.89,1502.94,115.95,86192.65
391,West,Industrial,1668.54,1348.19,320.35,77713.52
392,South,Industrial,1593.56,1462.12,131.44,75763.87
393,East,Residential,1939.6,1693.88,245.72,50518.94
394,North,Residential,739.01,602.25,136.76,61496.43
395,East,Industrial,857.17,721.85,135.32,77988.12
396,East,Industrial,693.31,588.66,104.65,69228.9
397,West,Industrial,2203.37,2097.51,105.86,28175.46
398,South,Commercial,2275.98,1851.98,424,34164.76
399,North,Commercial,1746.82,1465.68,281.14,49690.86
400,West,Commercial,1845.24,1636.46,208.78,65186.19
401,West,Residential,2052.47,1776.11,276.36,6441.5
402,East,Industrial,1586.42,1538.11,48.31,92206.47
403,South,Industrial,1102.54,1045.36,57.18,66804.96
404,East,Residential,1721.06,1647.87,73.19,97266.65
405,North,Commercial,618.8,503.31,115.49,68508.43
406,Central,Residential,1949.22,1889.88,59.34,17151.09
407,North,Residential,622.89,516.9,105.99,6241.18
408,Central,Industrial,1016.14,906.89,109.25,8063.2
409,West,Commercial,2090.91,1900.76,190.15,98945.48
410,South,Industrial,551.5,453.41,98.09,80382.26
411,Central,Commercial,2394.92,2196.62,198.3,90256.86
412,South,Commercial,690.67,584.48,106.19,65283.93
413,West,Residential,2439.21,2264.74,174.47,19959.68
414,South,Residential,2375.46,1944.19,431.27,95962.01
415,Central,Commercial,1282.73,1219.39,63.34,32814.95
416,South,Industrial,782.63,745,37.63,41879.9
417,West,Residential,1524.57,1224.26,300.31,56894.62
418,Central,Commercial,1830.74,1656.52,174.22,56889.6
419,North,Industrial,2016.05,1890.81,125.24,32612.76
420,Central,Residential,2002.8,1690.66,312.14,64187.81
421,South,Commercial,846.59,809.81,36.78,82278.3
422,West,Residential,2375.49,2099.79,275.7,73804.97
423,East,Residential,1089.74,952.59,137.15,48365.12
424,East,Residential,503.54,405.16,98.38,73661.68
425,Central,Residential,1116.68,988.64,128.04,74652.72
426,North,Industrial,1710.67,1668.32,42.35,86759.38
427,East,Industrial,1300.59,1175.02,125.57,64383.65
428,West,Industrial,1921.1,1660.43,260.67,50361.7
429,South,Residential,1688.95,1360.87,328.08,98366.56
430,South,Residential,1189.18,1137.14,52.04,63154.02
431,Central,Commercial,1828.48,1479.62,348.86,22952.59
432,Central,Residential,2442.66,2059.7,382.96,48795.9
433,South,Residential,1489.14,1207.31,281.83,69269.33
434,Central,Commercial,1604.03,1496.6,107.43,37522.81
435,South,Residential,908.65,804.82,103.83,37906.28
436,North,Residential,1693.74,1440,253.74,51745.54
437,Central,Commercial,2490.86,2024.55,466.31,68059.86
438,West,Residential,1707.05,1462.15,244.9,95910.76
439,Central,Residential,2354.93,2146.71,208.22,93563.69
440,West,Residential,2125.18,1831.77,293.41,82093.51
441,North,Industrial,873.29,812.66,60.63,45378.85
442,Central,Industrial,1982.41,1671.04,311.37,62599.46
443,North,Commercial,1764.71,1585.12,179.59,88519.39
444,East,Residential,2108.19,1740.32,367.87,14743.99
445,North,Commercial,2499.55,2059.14,440.41,21288.39
446,North,Commercial,2474.44,2170.14,304.3,42778.78
447,West,Residential,695.14,600.52,94.62,11434.36
448,North,Industrial,2301.57,2249.75,51.82,42443.74
449,Central,Industrial,807.96,746.04,61.92,57788.68
450,Central,Commercial,2308,2072.39,235.61,52601.61
451,West,Industrial,1025.78,924.81,100.97,78579.35
452,West,Commercial,1030.68,898.63,132.05,52101.23
453,West,Residential,1794.77,1479,315.77,58098.63
454,North,Residential,1918.18,1776.13,142.05,57478.18
455,Central,Commercial,1723.3,1386.23,337.07,52982.57
456,Central,Industrial,1713.83,1377.42,336.41,67393
457,East,Commercial,1620.83,1311.05,309.78,94614.38
458,East,Residential,1708.59,1431.7,276.89,82986.88
459,Central,Commercial,1732.03,1569.41,162.62,87999.8
460,North,Commercial,2194.15,2086.8,107.35,55053.32
461,East,Industrial,914.25,758.12,156.13,87431.72
462,North,Commercial,1768.84,1682.32,86.52,11335.25
463,Central,Residential,614.67,594.33,20.34,46264.51
464,East,Residential,636.94,520.95,115.99,7559.42
465,Central,Residential,1378.8,1264.14,114.66,36402.28
466,Central,Industrial,2493.79,2207.02,286.77,47781.97
467,North,Commercial,1427.92,1234.54,193.38,74539.11
468,East,Industrial,606.85,516.41,90.44,21769.11
469,South,Commercial,2038.28,1686.64,351.64,43102.27
470,West,Residential,1291.63,1154.24,137.39,73237.72
471,North,Residential,588.98,573.07,15.91,45526.1
472,East,Commercial,660.26,619.17,41.09,8692.27
473,West,Industrial,1407.33,1164.42,242.91,33912.12
474,North,Residential,769.56,702.8,66.76,66040.55
475,East,Industrial,1726.69,1578.2,148.49,84356.47
476,South,Commercial,2459.03,1977.8,481.23,13074.01
477,West,Commercial,2028.56,1955.63,72.93,75200.52
478,North,Industrial,2217.59,1934.41,283.18,81063.56
479,Central,Commercial,1512.22,1280.02,232.2,70871.88
480,East,Residential,1399.42,1202.3,197.12,22167.05
481,South,Commercial,1180.64,1061.9,118.74,70363.62
482,North,Residential,667.6,561.16,106.44,36989.79
483,South,Industrial,1609.74,1303.32,306.42,70647.86
484,North,Industrial,2155.89,1935.49,220.4,19744.79
485,South,Industrial,1056.46,999.6,56.86,90860.5
486,North,Industrial,705.68,576.5,129.18,80603.16
487,East,Residential,1693.51,1392.93,300.58,28070.87
488,South,Residential,576.69,497.76,78.93,47707.16
489,Central,Industrial,1683.97,1625.84,58.13,88462.41
490,South,Residential,1116.03,970.13,145.9,84419.26
491,Central,Commercial,2226.16,1919.49,306.67,81211.5
492,East,Industrial,1445.19,1292.97,152.22,39371.31
493,Central,Industrial,1656.86,1498.37,158.49,73540.03
494,Central,Commercial,1294.94,1166.64,128.3,76731.83
495,Central,Commercial,2481.8,2081.63,400.17,25255.99
496,East,Industrial,1364.9,1175.7,189.2,37745.24
497,Central,Industrial,1716.01,1594.22,121.79,97997.43
498,West,Industrial,1416.61,1184.52,232.09,91616.65
499,South,Residential,1754.79,1585.72,169.07,73751.59
500,North,Commercial,2091.91,2025.52,66.39,91231.91
501,West,Industrial,1165.92,1001.07,164.85,63201.24
502,South,Residential,2317.48,2156.32,161.16,75235.36
503,East,Industrial,642.69,534.31,108.38,23788.17
504,North,Residential,517.98,465.53,52.45,64656.03
505,West,Residential,2097.03,1807.16,289.87,56869.78
506,Central,Residential,2189.41,2114.33,75.08,56289.09
507,East,Residential,2029.34,1654.85,374.49,84979.33
508,North,Industrial,1445.85,1350.96,94.89,15213.45
509,East,Commercial,1541.36,1414.36,127,85767.34
