Month,Region,AvgDemandMW,MaxDemandMW,PeakEvents,DREvents,MAE,Hours
2024-09,East,739.2219548872181,1239.34,10,23,24.21407692307692,133
2024-09,North,755.7922727272727,1168.22,11,22,24.662550335570472,154
2024-09,South,750.620985915493,1112.76,16,27,23.817304964539012,142
2024-09,West,750.3525352112675,1108.83,11,20,23.184893617021277,142
2024-10,Central,753.4583018867925,1113.32,15,29,19.888807947019863,159
2024-10,East,760.4551948051949,1144.9,20,23,24.421390728476812,154
2024-10,North,761.3223776223776,1092.78,15,16,24.92841726618705,143
2024-10,South,758.7512056737588,1233.24,16,13,23.547214285714286,141
2024-10,West,756.2451020408163,1168.41,21,23,25.140419580419575,147
2024-11,Central,755.916618705036,1058.36,16,19,23.381029411764708,139
2024-11,East,759.1343902439024,1107.76,14,18,25.303697478991598,123
2024-11,North,744.5338513513514,1136.89,15,24,24.890000000000008,148
2024-11,South,746.7778488372093,1153.3,17,34,25.107705882352942,172
2024-11,West,729.2201449275362,1090.33,12,21,25.420223880597014,138
2024-12,Central,747.0255395683454,1045.12,13,24,24.8682962962963,139
2024-12,East,750.1507547169812,1058.93,16,26,25.888910256410263,159
2024-12,North,742.4454482758621,1189.77,16,21,28.55068965517241,145
2024-12,South,771.7266666666667,1183.73,21,21,27.259820359281434,168
2024-12,West,748.246015037594,1158.49,14,18,24.868646616541344,133
2025-01,Central,769.2477631578947,1108.44,17,24,21.286291390728476,152
2025-01,East,751.4894904458599,1200.96,18,18,23.044415584415592,157
2025-01,North,766.4434640522876,1329.27,17,26,22.55852348993288,153
2025-01,South,736.6828467153285,1119.56,16,16,20.54166666666666,137
2025-01,West,736.138827586207,1175.29,9,23,22.27173611111111,145
2025-02,Central,760.2975886524822,1135.85,17,20,28.14585185185185,141
2025-02,East,760.2455555555556,1220.85,13,20,25.288306451612904,126
2025-02,North,738.0921739130434,1086.17,7,22,22.860814814814816,138
2025-02,South,766.8848484848485,1171.61,15,23,21.585076923076922,132
2025-02,West,732.6161481481481,1031.97,9,25,21.431007751937983,135
2025-03,Central,740.1584745762711,1093.37,10,20,23.525213675213674,118
2025-03,East,742.3085810810811,1149.12,12,21,24.921428571428578,148
2025-03,North,754.1184444444444,1161.39,19,22,20.387528089887645,180
2025-03,South,751.7065161290323,1194.09,13,24,25.299337748344364,155
2025-03,West,749.6798601398601,1100.94,12,22,22.922411347517738,143
2025-04,Central,743.2698,1131.72,15,26,23.59570469798658,150
2025-04,East,752.6211999999999,1173.95,13,20,23.104666666666674,125
2025-04,North,773.5652112676056,1151.98,19,18,24.58414285714286,142
2025-04,South,755.7798125,1156.57,11,22,23.013630573248403,160
2025-04,West,755.4567132867132,1103.19,18,24,22.143428571428576,143
2025-05,Central,748.8836290322581,1074.78,15,23,22.487190082644627,124
2025-05,East,738.2710062893082,1049.67,13,24,23.281698113207547,159
2025-05,North,766.2910869565218,1158.96,20,26,22.95489051094891,138
2025-05,South,766.2490506329115,1139.53,20,29,24.226346153846155,158
2025-05,West,737.0267272727273,1082.24,17,26,20.87374233128834,165
2025-06,Central,727.3385606060606,1091.89,15,19,23.27198473282443,132
2025-06,East,753.6577941176471,1227.3,10,25,24.535581395348842,136
2025-06,North,745.2328671328671,1086.04,12,30,21.678394160583938,143
2025-06,South,749.7016049382717,1098.8,11,28,25.220188679245286,162
2025-06,West,752.3259863945578,1152.38,16,26,20.87361111111111,147
2025-07,Central,746.9200636942675,1086.59,13,19,23.595677419354836,157
2025-07,East,762.158394160584,1175.84,16,21,26.588045112781955,137
2025-07,North,753.4151633986928,1220.3,12,19,24.302384105960265,153
2025-07,South,760.1608510638297,1156.63,18,21,23.725357142857145,141
2025-07,West,756.1012179487179,1238.05,17,15,25.279867549668875,156
2025-08,Central,739.2810179640718,1079.69,15,27,24.54443113772455,167
2025-08,East,749.9215483870968,1173.19,15,21,25.570387096774194,155
2025-08,North,737.8808275862069,1088.94,16,25,22.846896551724143,145
2025-08,South,735.029,1015.99,11,19,26.39439655172414,120
2025-08,West,755.0904458598726,1075.12,14,27,24.084802631578945,157
2025-09,Central,766.4998630136986,1103.75,17,20,24.029862068965524,146
2025-09,East,750.1408219178082,1260.11,20,25,25.242377622377617,146
2025-09,North,756.61056,1081.81,17,22,24.117459016393443,125
2025-09,South,740.2216546762589,1240.06,12,20,22.867132352941184,139
2025-09,West,747.2273170731708,1172.14,18,20,25.307062500000004,164
2025-10,Central,743.5233128834356,1113.75,15,30,24.819622641509437,163
2025-10,East,743.0786092715232,1148.58,9,26,21.272094594594588,151
2025-10,North,772.2931617647058,1111.81,21,24,25.51626865671642,136
2025-10,South,739.2215686274509,1063.52,18,15,25.73273333333333,153
2025-10,West,755.8214893617021,1116.93,13,16,23.65715328467153,141
2025-11,Central,766.3519230769232,1083.63,2,2,24.921538461538457,26
2025-11,East,767.2415384615384,1014.8,4,8,21.178684210526313,39
2025-11,North,782.7982352941176,1005.49,4,3,22.858235294117637,34
2025-11,South,751.9537037037037,1059.55,2,3,28.214444444444446,27
2025-11,West,739.6008823529412,1071.24,3,5,24.513823529411763,34
