EventID,Region,CustomerType,PeakDemandBeforeMW,PeakDemandAfterMW,DemandReductionMW,ProgramCost,cpm,quartile,CostPerMW,EfficiencyQuartile,ReductionPct
73,South,Commercial,2495.15,2246.6,248.55,81157.15,326.5224300945483,Q2,326.52,Q2,9.96
74,East,Commercial,1211.59,1099.14,112.45,94818.95,843.2098710538016,Q4 (worst),843.21,Q4 worst,9.28
75,West,Industrial,2442.63,2311.87,130.76,57990.09,443.48493423065156,Q3,443.48,Q3,5.35
76,West,Commercial,2299.42,2224.99,74.43,24124.22,324.11957544001075,Q2,324.12,Q2,3.24
77,West,Industrial,1306.7,1148.51,158.19,89105.0,563.2783361780138,Q3,563.28,Q3,12.11
78,East,Residential,1880.0,1734.44,145.56,53864.45,370.0498076394614,Q3,370.05,Q3,7.74
79,North,Residential,2003.91,1652.44,351.47,62755.24,178.55077246991206,Q2,178.55,Q2,17.54
80,South,Commercial,891.42,786.0,105.42,24330.23,230.79330297856194,Q2,230.79,Q2,11.83
81,Central,Commercial,1717.05,1650.75,66.3,97697.1,1473.5610859728508,Q4 (worst),1473.56,Q4 worst,3.86
82,North,Residential,579.01,519.41,59.6,15513.54,260.29429530201344,Q2,260.29,Q2,10.29
83,North,Residential,2281.7,2137.02,144.68,20610.32,142.45452032070776,Q1 (best),142.45,Q1 best,6.34
84,West,Commercial,633.53,517.47,116.06,58157.36,501.0973634327072,Q3,501.1,Q3,18.32
85,North,Industrial,2356.24,1904.15,452.09,44561.73,98.56827180428677,Q1 (best),98.57,Q1 best,19.19
86,Central,Residential,2363.01,2221.99,141.02,27296.99,193.5682172741455,Q2,193.57,Q2,5.97
87,East,Commercial,2486.87,2099.14,387.73,8883.87,22.912516441853867,Q1 (best),22.91,Q1 best,15.59
88,East,Industrial,2413.21,2176.91,236.3,59109.48,250.1459162082099,Q2,250.15,Q2,9.79
89,North,Industrial,954.24,849.81,104.43,81893.69,784.1969740496025,Q4 (worst),784.2,Q4 worst,10.94
90,North,Residential,1325.19,1225.61,99.58,80136.87,804.7486443060856,Q4 (worst),804.75,Q4 worst,7.51
91,East,Residential,2058.11,1838.21,219.9,41027.22,186.57216916780354,Q2,186.57,Q2,10.68
92,South,Residential,1800.96,1693.33,107.63,46209.89,429.340239710118,Q3,429.34,Q3,5.98
93,East,Residential,1442.57,1272.77,169.8,19377.84,114.12155477031801,Q1 (best),114.12,Q1 best,11.77
94,Central,Residential,1822.52,1575.26,247.26,60656.52,245.31472943460324,Q2,245.31,Q2,13.57
95,South,Industrial,561.45,499.51,61.94,48249.12,778.9654504359058,Q4 (worst),778.97,Q4 worst,11.03
96,South,Industrial,1037.28,915.47,121.81,79119.27,649.5301699367868,Q4 (worst),649.53,Q4 worst,11.74
97,North,Industrial,1168.02,944.9,223.12,94248.92,422.41358910003584,Q3,422.41,Q3,19.1
98,Central,Residential,2316.2,1883.87,432.33,41087.96,95.03841972567253,Q1 (best),95.04,Q1 best,18.67
99,East,Residential,1072.61,973.47,99.14,72033.03,726.578878353843,Q4 (worst),726.58,Q4 worst,9.24
100,Central,Residential,785.4,637.23,148.17,7761.44,52.38199365593575,Q1 (best),52.38,Q1 best,18.87
101,East,Residential,603.0,558.35,44.65,72977.49,1634.4342665173574,Q4 (worst),1634.43,Q4 worst,7.4
102,East,Commercial,719.36,584.14,135.22,81442.37,602.2952965537642,Q3,602.3,Q3,18.8
103,South,Residential,1951.54,1757.62,193.92,57301.79,295.4919038778878,Q2,295.49,Q2,9.94
104,Central,Commercial,1881.61,1602.55,279.06,79935.29,286.4448147351824,Q2,286.44,Q2,14.83
105,Central,Commercial,1976.97,1818.33,158.64,18485.19,116.52288199697428,Q1 (best),116.52,Q1 best,8.02
106,West,Residential,1622.8,1377.23,245.57,7303.9,29.742639573237774,Q1 (best),29.74,Q1 best,15.13
107,South,Residential,2489.45,2087.04,402.41,12450.78,30.94053328694615,Q1 (best),30.94,Q1 best,16.16
108,Central,Residential,1100.21,1023.23,76.98,89244.99,1159.3269680436476,Q4 (worst),1159.33,Q4 worst,7.0
109,North,Industrial,1447.08,1305.44,141.64,21554.3,152.17664501553236,Q1 (best),152.18,Q1 best,9.79
110,South,Residential,1423.64,1311.32,112.32,73537.68,654.7158119658119,Q4 (worst),654.72,Q4 worst,7.89
111,East,Industrial,550.02,518.28,31.74,44974.6,1416.9691241335854,Q4 (worst),1416.97,Q4 worst,5.77
112,West,Commercial,1862.97,1762.76,100.21,23919.9,238.6977347570103,Q2,238.7,Q2,5.38
113,Central,Commercial,1853.29,1490.14,363.15,53495.68,147.31014732204324,Q1 (best),147.31,Q1 best,19.59
114,East,Commercial,1856.5,1605.31,251.19,80534.86,320.6133205939727,Q2,320.61,Q2,13.53
115,Central,Residential,559.3,496.22,63.08,59312.18,940.2691819911224,Q4 (worst),940.27,Q4 worst,11.28
116,West,Industrial,1263.25,1020.17,243.08,33018.12,135.83231857824586,Q1 (best),135.83,Q1 best,19.24
117,East,Industrial,2251.97,1959.08,292.89,98014.13,334.6448496022398,Q3,334.64,Q3,13.01
118,North,Residential,888.98,741.44,147.54,27316.86,185.1488409922733,Q2,185.15,Q2,16.6
119,South,Residential,1929.03,1721.1,207.93,21017.92,101.08171019092963,Q1 (best),101.08,Q1 best,10.78
120,North,Industrial,2146.67,2040.29,106.38,55253.38,519.3963150968227,Q3,519.4,Q3,4.96
121,West,Commercial,1135.83,1070.95,64.88,86195.79,1328.5417694204687,Q4 (worst),1328.54,Q4 worst,5.71
122,West,Residential,1371.74,1332.15,39.59,9366.88,236.5971204849709,Q2,236.6,Q2,2.89
123,Central,Commercial,593.89,562.83,31.06,76964.97,2477.9449452672247,Q4 (worst),2477.94,Q4 worst,5.23
124,West,Commercial,958.81,806.81,152.0,29677.18,195.2446052631579,Q2,195.24,Q2,15.85
125,North,Residential,2398.79,2005.45,393.34,94573.89,240.43801799969492,Q2,240.44,Q2,16.4
126,East,Industrial,1105.15,992.36,112.79,30327.5,268.88465289476017,Q2,268.88,Q2,10.21
127,South,Industrial,1275.92,1040.04,235.88,46221.35,195.95281499067323,Q2,195.95,Q2,18.49
128,North,Commercial,1978.59,1749.16,229.43,67635.39,294.79749814758316,Q2,294.8,Q2,11.6
129,West,Residential,2375.2,2082.14,293.06,54118.39,184.6665870470211,Q2,184.67,Q2,12.34
130,South,Residential,2011.22,1834.32,176.9,68395.47,386.6335217637083,Q3,386.63,Q3,8.8
131,Central,Residential,859.26,769.75,89.51,50566.54,564.9261535024019,Q3,564.93,Q3,10.42
132,East,Residential,765.17,733.2,31.97,39972.71,1250.319361901783,Q4 (worst),1250.32,Q4 worst,4.18
133,North,Residential,2446.69,2117.93,328.76,15888.79,48.32945005475119,Q1 (best),48.33,Q1 best,13.44
134,North,Industrial,1742.56,1619.12,123.44,90755.28,735.2177576150357,Q4 (worst),735.22,Q4 worst,7.08
135,Central,Industrial,1479.64,1310.48,169.16,41001.94,242.38555213998583,Q2,242.39,Q2,11.43
136,East,Residential,1047.63,896.85,150.78,50685.0,336.1520095503382,Q3,336.15,Q3,14.39
137,South,Industrial,1984.0,1845.33,138.67,22515.23,162.36554409749766,Q1 (best),162.37,Q1 best,6.99
138,South,Commercial,1568.29,1403.12,165.17,42570.75,257.738996185748,Q2,257.74,Q2,10.53
139,East,Residential,1894.54,1518.59,375.95,35185.76,93.59159462694508,Q1 (best),93.59,Q1 best,19.84
140,West,Industrial,1969.5,1852.06,117.44,85586.62,728.7689032697548,Q4 (worst),728.77,Q4 worst,5.96
141,West,Commercial,1297.46,1129.04,168.42,41720.18,247.71511696948107,Q2,247.72,Q2,12.98
142,North,Residential,2303.52,1928.4,375.12,9707.19,25.87755918106206,Q1 (best),25.88,Q1 best,16.28
143,South,Commercial,789.27,658.71,130.56,80731.16,618.3452818627451,Q3,618.35,Q3,16.54
144,East,Industrial,1948.41,1757.89,190.52,7368.9,38.677829099307154,Q1 (best),38.68,Q1 best,9.78
145,North,Commercial,1073.12,948.17,124.95,56260.89,450.26722689075626,Q3,450.27,Q3,11.64
146,East,Commercial,1474.46,1235.22,239.24,71827.31,300.23119043638184,Q2,300.23,Q2,16.23
147,West,Industrial,1320.25,1223.76,96.49,95506.2,989.80412477977,Q4 (worst),989.8,Q4 worst,7.31
148,South,Residential,605.56,550.18,55.38,9484.54,171.26291079812208,Q1 (best),171.26,Q1 best,9.15
149,East,Residential,1326.44,1219.57,106.87,19910.53,186.3060727987274,Q2,186.31,Q2,8.06
150,North,Industrial,1539.87,1265.79,274.08,46243.54,168.72278166958554,Q1 (best),168.72,Q1 best,17.8
151,Central,Residential,1577.79,1537.97,39.82,8286.29,208.09367152184834,Q2,208.09,Q2,2.52
152,Central,Industrial,1945.08,1737.96,207.12,43633.1,210.66579760525298,Q2,210.67,Q2,10.65
153,West,Industrial,1501.92,1339.02,162.9,14268.4,87.58993247391037,Q1 (best),87.59,Q1 best,10.85
154,West,Industrial,1856.98,1632.48,224.5,91739.95,408.6412026726058,Q3,408.64,Q3,12.09
155,North,Residential,1107.61,1019.85,87.76,30114.36,343.14448495897904,Q3,343.14,Q3,7.92
156,North,Industrial,950.57,916.53,34.04,6952.35,204.24059929494715,Q2,204.24,Q2,3.58
157,South,Industrial,1871.27,1676.29,194.98,84359.14,432.6553492665915,Q3,432.66,Q3,10.42
158,North,Industrial,2316.21,2068.04,248.17,97238.02,391.8202038924931,Q3,391.82,Q3,10.71
159,Central,Residential,1075.58,978.1,97.48,55089.18,565.1331555190808,Q3,565.13,Q3,9.06
160,West,Residential,1071.05,874.39,196.66,54303.36,276.12813993694704,Q2,276.13,Q2,18.36
161,North,Residential,1725.38,1410.21,315.17,66323.92,210.43855696925468,Q2,210.44,Q2,18.27
162,North,Commercial,2451.13,2113.87,337.26,82954.95,245.96735456324498,Q2,245.97,Q2,13.76
163,North,Commercial,2059.92,1972.92,87.0,30166.15,346.7373563218391,Q3,346.74,Q3,4.22
164,East,Industrial,1268.38,1135.43,132.95,10521.34,79.1375705152313,Q1 (best),79.14,Q1 best,10.48
165,West,Residential,2398.29,2081.25,317.04,37896.81,119.5332134746404,Q1 (best),119.53,Q1 best,13.22
166,South,Commercial,662.31,623.3,39.01,90135.71,2310.5795949756475,Q4 (worst),2310.58,Q4 worst,5.89
167,Central,Industrial,1523.78,1275.54,248.24,25342.38,102.08822107637769,Q1 (best),102.09,Q1 best,16.29
168,West,Industrial,1843.97,1623.61,220.36,5348.03,24.269513523325465,Q1 (best),24.27,Q1 best,11.95
169,East,Industrial,1485.28,1400.71,84.57,42518.61,502.7623270663356,Q3,502.76,Q3,5.69
170,East,Commercial,711.13,625.47,85.66,63375.49,739.8492878823255,Q4 (worst),739.85,Q4 worst,12.05
171,West,Industrial,1270.24,1081.61,188.63,43283.65,229.46323490431004,Q2,229.46,Q2,14.85
172,North,Industrial,1515.21,1317.59,197.62,43807.94,221.67766420402793,Q2,221.68,Q2,13.04
173,South,Commercial,1444.13,1343.63,100.5,45960.9,457.3223880597015,Q3,457.32,Q3,6.96
174,Central,Commercial,2471.25,2148.22,323.03,90011.78,278.64836083335916,Q2,278.65,Q2,13.07
175,South,Commercial,2381.35,2044.18,337.17,48818.36,144.7885636325889,Q1 (best),144.79,Q1 best,14.16
176,Central,Industrial,679.14,549.53,129.61,40152.55,309.7951546948538,Q2,309.8,Q2,19.08
177,Central,Residential,2139.6,1782.09,357.51,11845.28,33.13272356018014,Q1 (best),33.13,Q1 best,16.71
178,East,Commercial,1482.1,1325.34,156.76,74919.03,477.92185506506763,Q3,477.92,Q3,10.58
179,East,Industrial,2363.84,2081.13,282.71,83611.47,295.74995578508015,Q2,295.75,Q2,11.96
180,East,Industrial,1406.58,1319.2,87.38,93126.51,1065.7645914396887,Q4 (worst),1065.76,Q4 worst,6.21
181,West,Industrial,536.31,477.12,59.19,27288.78,461.0369994931576,Q3,461.04,Q3,11.04
182,South,Residential,2453.32,2061.25,392.07,7989.98,20.378962940291274,Q1 (best),20.38,Q1 best,15.98
183,Central,Residential,1611.17,1352.29,258.88,43028.51,166.21025185414092,Q1 (best),166.21,Q1 best,16.07
184,East,Residential,912.27,859.98,52.29,68650.21,1312.8745458022568,Q4 (worst),1312.87,Q4 worst,5.73
185,South,Industrial,990.82,856.36,134.46,57091.83,424.6008478357876,Q3,424.6,Q3,13.57
186,South,Industrial,1730.75,1618.3,112.45,34383.91,305.77065362383286,Q2,305.77,Q2,6.5
187,West,Industrial,2139.41,1976.94,162.47,87032.5,535.6835108019942,Q3,535.68,Q3,7.59
188,East,Commercial,1031.6,962.52,69.08,72658.26,1051.7987840185292,Q4 (worst),1051.8,Q4 worst,6.7
189,West,Industrial,887.98,751.84,136.14,88212.88,647.9571029822242,Q3,647.96,Q3,15.33
190,West,Residential,2230.82,2033.25,197.57,36575.87,185.1286632585919,Q2,185.13,Q2,8.86
191,North,Residential,2161.32,1824.14,337.18,62519.9,185.41995373391066,Q2,185.42,Q2,15.6
192,West,Commercial,623.7,586.17,37.53,37369.48,995.7228883559819,Q4 (worst),995.72,Q4 worst,6.02
193,Central,Commercial,1636.45,1520.93,115.52,39506.21,341.9858898891967,Q3,341.99,Q3,7.06
194,Central,Industrial,2148.22,1846.59,301.63,60330.57,200.0151510128303,Q2,200.02,Q2,14.04
195,North,Residential,524.68,466.04,58.64,71085.56,1212.2366984993178,Q4 (worst),1212.24,Q4 worst,11.18
196,West,Commercial,2486.49,2246.49,240.0,33840.49,141.00204166666666,Q1 (best),141.0,Q1 best,9.65
197,South,Residential,1605.59,1360.61,244.98,37082.84,151.37088741938118,Q1 (best),151.37,Q1 best,15.26
198,East,Industrial,1127.15,1099.76,27.39,18334.98,669.4041621029572,Q4 (worst),669.4,Q4 worst,2.43
199,West,Residential,1099.5,958.56,140.94,23992.94,170.23513551866043,Q1 (best),170.24,Q1 best,12.82
200,South,Commercial,610.57,579.7,30.87,24087.82,780.2986718496923,Q4 (worst),780.3,Q4 worst,5.06
201,North,Commercial,2124.91,1833.37,291.54,14010.68,48.05748782328325,Q1 (best),48.06,Q1 best,13.72
202,Central,Industrial,2451.76,2133.2,318.56,24803.95,77.86272601707685,Q1 (best),77.86,Q1 best,12.99
203,East,Commercial,1115.94,1052.94,63.0,5255.15,83.41507936507936,Q1 (best),83.42,Q1 best,5.65
204,Central,Commercial,962.15,789.87,172.28,73580.78,427.09995356396564,Q3,427.1,Q3,17.91
205,East,Commercial,2021.59,1688.07,333.52,96950.85,290.6897637323099,Q2,290.69,Q2,16.5
206,East,Residential,1307.26,1124.98,182.28,60991.33,334.6024248409041,Q3,334.6,Q3,13.94
207,East,Commercial,556.34,520.1,36.24,67587.89,1865.0080022075053,Q4 (worst),1865.01,Q4 worst,6.51
208,West,Residential,1306.42,1178.22,128.2,10485.8,81.79251170046803,Q1 (best),81.79,Q1 best,9.81
209,East,Residential,1700.55,1542.45,158.1,70575.92,446.40050600885513,Q3,446.4,Q3,9.3
210,North,Residential,1373.62,1198.78,174.84,26760.49,153.05702356440173,Q1 (best),153.06,Q1 best,12.73
211,West,Industrial,540.32,444.02,96.3,49781.42,516.9410176531671,Q3,516.94,Q3,17.82
212,North,Industrial,630.14,616.9,13.24,73116.18,5522.37009063444,Q4 (worst),5522.37,Q4 worst,2.1
213,Central,Industrial,933.25,876.9,56.35,30408.5,539.6362023070097,Q3,539.64,Q3,6.04
214,North,Residential,1600.85,1558.43,42.42,60479.92,1425.7406883545495,Q4 (worst),1425.74,Q4 worst,2.65
215,South,Residential,835.95,773.68,62.27,90784.96,1457.9245222418501,Q4 (worst),1457.92,Q4 worst,7.45
216,North,Residential,1652.4,1366.52,285.88,89111.67,311.7100531691619,Q2,311.71,Q2,17.3
217,West,Residential,835.23,673.87,161.36,39184.95,242.84178235002474,Q2,242.84,Q2,19.32
218,West,Residential,982.26,834.8,147.46,29076.95,197.18533839685338,Q2,197.19,Q2,15.01
219,Central,Commercial,1829.25,1641.14,188.11,98861.67,525.5524427196852,Q3,525.55,Q3,10.28
220,South,Commercial,2400.38,2023.29,377.09,12480.18,33.09602482166061,Q1 (best),33.1,Q1 best,15.71
221,West,Residential,1703.5,1372.03,331.47,82019.77,247.44251365131083,Q2,247.44,Q2,19.46
222,Central,Industrial,1257.74,1018.02,239.72,40683.49,169.71253962956783,Q1 (best),169.71,Q1 best,19.06
223,East,Industrial,1792.02,1474.24,317.78,54269.78,170.7778337214425,Q1 (best),170.78,Q1 best,17.73
224,Central,Industrial,2233.91,1835.06,398.85,94587.18,237.14975554719817,Q2,237.15,Q2,17.85
225,South,Industrial,1806.42,1503.9,302.52,56486.44,186.71968795451542,Q2,186.72,Q2,16.75
226,North,Industrial,1116.81,929.78,187.03,27969.06,149.5431748917286,Q1 (best),149.54,Q1 best,16.75
227,East,Commercial,1914.19,1652.65,261.54,12202.63,46.65684025388085,Q1 (best),46.66,Q1 best,13.66
228,West,Industrial,1390.91,1306.21,84.7,37576.14,443.6380165289256,Q3,443.64,Q3,6.09
229,West,Industrial,2337.19,2105.53,231.66,86282.24,372.4520417853752,Q3,372.45,Q3,9.91
230,North,Commercial,2467.07,2244.09,222.98,20557.67,92.1951296080366,Q1 (best),92.2,Q1 best,9.04
231,East,Commercial,1349.92,1183.54,166.38,29176.4,175.36001923308092,Q2,175.36,Q2,12.33
232,East,Residential,2364.48,2169.56,194.92,19297.2,99.0006156371845,Q1 (best),99.0,Q1 best,8.24
233,Central,Industrial,1704.13,1427.35,276.78,75976.69,274.5020955271335,Q2,274.5,Q2,16.24
234,West,Industrial,1282.27,1093.95,188.32,70090.49,372.1882434154631,Q3,372.19,Q3,14.69
235,Central,Commercial,1476.67,1233.28,243.39,79292.32,325.78298204527715,Q2,325.78,Q2,16.48
236,East,Commercial,574.5,476.48,98.02,64148.23,654.4402162823914,Q4 (worst),654.44,Q4 worst,17.06
237,East,Industrial,2327.35,2090.58,236.77,87285.96,368.65295434387804,Q3,368.65,Q3,10.17
238,Central,Residential,954.83,779.08,175.75,68935.26,392.23476529160735,Q3,392.23,Q3,18.41
239,Central,Residential,632.62,572.41,60.21,12723.93,211.32585949177877,Q2,211.33,Q2,9.52
240,East,Commercial,520.94,455.74,65.2,96469.29,1479.5903374233128,Q4 (worst),1479.59,Q4 worst,12.52
241,West,Commercial,2038.51,1697.58,340.93,12298.01,36.07195025371777,Q1 (best),36.07,Q1 best,16.72
242,Central,Industrial,1285.57,1212.43,73.14,72624.24,992.9483182936834,Q4 (worst),992.95,Q4 worst,5.69
243,East,Commercial,1187.57,974.69,212.88,67475.7,316.9658962795941,Q2,316.97,Q2,17.93
244,South,Residential,509.32,414.8,94.52,17181.46,181.77592044011848,Q2,181.78,Q2,18.56
245,East,Residential,1863.55,1816.43,47.12,11544.74,245.0072156196944,Q2,245.01,Q2,2.53
246,West,Commercial,648.25,598.42,49.83,24183.02,485.3104555488662,Q3,485.31,Q3,7.69
247,South,Commercial,1776.84,1720.3,56.54,90752.57,1605.1038203042096,Q4 (worst),1605.1,Q4 worst,3.18
248,North,Residential,2215.95,1917.8,298.15,37789.44,126.74640281737382,Q1 (best),126.75,Q1 best,13.45
249,Central,Commercial,2264.11,2167.24,96.87,34936.87,360.65727263342626,Q3,360.66,Q3,4.28
250,South,Residential,1124.3,1067.89,56.41,99364.4,1761.4678248537493,Q4 (worst),1761.47,Q4 worst,5.02
251,South,Residential,640.48,566.72,73.76,53629.84,727.0856832971799,Q4 (worst),727.09,Q4 worst,11.52
252,South,Commercial,1338.99,1098.53,240.46,46509.43,193.41857273559012,Q2,193.42,Q2,17.96
253,East,Residential,1562.37,1344.79,217.58,13856.97,63.68678187333394,Q1 (best),63.69,Q1 best,13.93
254,Central,Commercial,1023.06,828.5,194.56,82481.98,423.9410978618421,Q3,423.94,Q3,19.02
255,East,Commercial,1648.35,1325.83,322.52,97441.16,302.12439538633265,Q2,302.12,Q2,19.57
