SubstationID,Region,InfrastructureAgeYears,CapacityMW,CurrentUtilizationPct,AnnualMaintenanceCost,OutagesLast5Years,ProjectedLoadGrowthPct,RiskScore,RiskTier,UtilizationBand,PriorityRank
1172,North,45,514,56.44,431945.88,2,5.21,51.35,Moderate,Under 70%,285
1173,South,10,840,66.38,147564.8,1,1.9,30.71,Low,Under 70%,491
1174,East,37,328,89.0,516627.23,0,0.02,41.54,Moderate,85-90%,418
1175,South,10,621,90.3,123795.7,3,7.4,54.89,Moderate,90-100%,230
1176,North,29,971,75.3,954307.82,4,10.85,67.89,Elevated,70-85%,48
1177,South,31,921,59.97,327001.28,1,11.29,55.97,Elevated,Under 70%,218
1178,East,7,463,95.05,226117.76,4,6.61,56.54,Elevated,90-100%,206
1179,East,45,1459,57.7,735300.71,4,5.91,59.13,Elevated,Under 70%,162
1180,South,11,1291,99.49,830497.13,4,9.51,65.27,Elevated,90-100%,72
1181,North,49,490,68.52,863757.87,2,5.45,57.06,Elevated,Under 70%,195
1182,North,37,1454,76.89,922668.8,2,3.49,50.85,Moderate,70-85%,293
1183,East,23,1498,103.5,184745.81,5,5.24,65.73,Elevated,Over 100%,68
1184,West,21,1030,84.75,928631.07,0,10.94,55.7,Elevated,70-85%,221
1185,Central,48,340,59.06,228998.27,4,4.87,58.66,Elevated,Under 70%,169
1186,South,13,869,45.7,356857.51,1,9.24,40.39,Moderate,Under 70%,432
1187,East,1,1405,90.29,252679.01,3,1.43,39.35,Low,90-100%,439
1188,South,16,1027,78.84,174790.79,2,2.87,41.79,Moderate,70-85%,415
1189,South,2,1102,57.44,456572.6,2,4.69,33.41,Low,Under 70%,482
1190,Central,29,466,92.48,833910.61,1,9.05,60.44,Elevated,90-100%,136
1191,East,3,434,48.78,956980.57,1,9.35,37.53,Low,Under 70%,455
1192,South,49,1292,66.21,511733.09,3,7.12,62.7,Elevated,Under 70%,96
1193,East,32,1462,76.35,121688.42,4,9.62,66.94,Elevated,70-85%,56
1194,West,42,561,46.53,218539.42,2,10.39,57.54,Elevated,Under 70%,188
1195,South,18,1133,53.11,619998.96,4,11.08,57.29,Elevated,Under 70%,191
1196,North,25,383,58.63,589289.21,3,2.66,41.91,Moderate,Under 70%,413
1197,Central,38,349,97.53,333597.78,3,0.14,53.74,Moderate,90-100%,242
1198,Central,16,627,86.02,107129.2,2,5.75,49.71,Moderate,85-90%,306
1199,South,16,1130,98.1,975388.87,2,11.63,65.09,Elevated,90-100%,73
1200,East,4,1008,76.98,782020.36,3,8.31,50.31,Moderate,70-85%,299
1201,West,48,603,91.04,703097.57,3,10.37,76.25,Critical,90-100%,8
1202,South,46,410,90.87,520954.16,1,6.09,60.84,Elevated,90-100%,125
1203,Central,33,403,68.84,292179.58,2,9.45,58.75,Elevated,Under 70%,168
1204,South,6,1220,76.6,380418.44,1,4.91,38.2,Low,70-85%,450
1205,South,44,691,98.74,394630.64,1,11.33,72.88,Critical,90-100%,18
1206,South,11,747,66.98,914890.1,5,9.66,58.81,Elevated,Under 70%,166
1207,East,13,371,101.51,190502.47,3,2.17,48.99,Moderate,Over 100%,313
1208,East,39,563,100.83,870889.92,3,0.03,54.91,Moderate,Over 100%,229
1209,South,10,404,52.54,264751.37,0,5.7,31.16,Low,Under 70%,488
1210,West,29,585,103.19,300594.3,2,3.19,54.94,Moderate,Over 100%,228
1211,Central,28,1198,104.55,803990.83,0,2.88,48.32,Moderate,Over 100%,323
1212,East,37,772,55.01,886648.59,3,7.24,54.78,Moderate,Under 70%,232
1213,East,13,462,103.32,578858.54,2,8.84,59.88,Elevated,Over 100%,148
1214,North,37,1260,98.88,585618.71,6,6.41,75.28,Critical,90-100%,10
1215,Central,44,708,63.11,159865.35,0,0.9,38.33,Low,Under 70%,448
1216,Central,46,673,68.91,353560.69,1,5.23,52.53,Moderate,Under 70%,260
1217,West,53,553,75.45,896152.35,4,7.15,70.14,Critical,70-85%,30
1218,East,43,606,86.74,565416.97,4,5.06,65.34,Elevated,85-90%,71
1219,South,35,417,98.58,186183.58,3,10.71,73.99,Critical,90-100%,12
1220,West,13,957,95.81,926197.1,0,1.79,37.52,Low,90-100%,456
1221,West,11,978,59.98,179836.16,3,9.58,50.55,Moderate,Under 70%,296
1222,West,42,937,68.58,461977.72,0,6.89,51.15,Moderate,Under 70%,289
1223,Central,51,990,75.58,922083.61,2,7.38,63.83,Elevated,70-85%,85
1224,Central,49,601,72.68,330277.45,2,5.44,58.28,Elevated,70-85%,173
1225,West,45,1244,97.43,510659.28,2,5.46,64.15,Elevated,90-100%,81
1226,East,37,307,46.78,719998.08,3,10.97,59.77,Elevated,Under 70%,152
1227,North,10,497,66.76,567667.13,2,3.26,36.55,Low,Under 70%,466
1228,East,5,1030,86.91,834701.26,2,5.82,45.71,Moderate,85-90%,373
1229,North,4,1443,88.26,765062.54,1,6.7,44.48,Moderate,85-90%,389
1230,North,20,1246,54.38,752491.73,1,9.31,45.93,Moderate,Under 70%,370
1231,Central,23,1067,100.36,488541.03,3,2.56,53.43,Moderate,Over 100%,247
1232,North,43,778,49.94,376328.78,2,10.39,58.96,Elevated,Under 70%,165
1233,West,22,584,59.48,772259.47,2,6.29,45.22,Moderate,Under 70%,378
1234,West,20,1336,80.95,295226.44,6,11.55,73.38,Critical,70-85%,15
1235,East,24,1058,50.62,623986.13,2,11.0,52.79,Moderate,Under 70%,254
1236,Central,6,386,81.95,733735.23,2,11.59,56.16,Elevated,70-85%,216
1237,West,10,1137,104.32,988079.24,6,11.93,77.16,Critical,Over 100%,6
1238,South,48,1491,88.72,487117.48,1,6.93,62.68,Elevated,85-90%,98
1239,South,11,590,54.78,580247.48,0,7.66,36.15,Low,Under 70%,467
1240,South,13,524,85.78,491056.61,2,10.09,57.11,Elevated,85-90%,194
1241,East,39,670,72.51,656946.39,3,11.56,69.47,Elevated,70-85%,33
1242,Central,11,876,60.72,132790.63,1,3.98,33.58,Low,Under 70%,481
1243,East,4,687,52.15,600133.35,1,11.2,42.64,Moderate,Under 70%,407
1244,East,7,663,54.3,616250.12,1,8.47,39.03,Low,Under 70%,441
1245,South,24,1044,74.97,581527.44,1,6.09,47.27,Moderate,70-85%,348
1246,South,32,676,57.56,487952.07,5,3.65,52.37,Moderate,Under 70%,265
1247,West,26,1497,88.85,793439.17,1,3.34,46.74,Moderate,85-90%,354
1248,Central,13,1145,48.77,639090.85,2,3.99,33.81,Low,Under 70%,479
1249,West,12,1019,67.87,143999.62,3,3.27,40.7,Moderate,Under 70%,429
1250,West,46,671,54.47,264760.11,4,1.48,49.7,Moderate,Under 70%,308
1251,East,2,360,101.29,905404.65,3,2.08,44.35,Moderate,Over 100%,392
1252,East,19,824,46.56,719627.85,3,0.28,31.13,Low,Under 70%,489
1253,Central,50,676,87.63,791802.91,2,3.49,59.27,Elevated,85-90%,158
1254,East,6,1362,83.8,677642.58,1,9.14,48.82,Moderate,70-85%,315
1255,East,14,1462,72.14,168397.07,3,1.41,39.06,Low,70-85%,440
1256,West,10,1169,103.62,155683.98,3,8.45,60.99,Elevated,Over 100%,120
1257,North,35,441,103.45,757372.69,4,3.62,64.27,Elevated,Over 100%,79
1258,East,13,432,96.98,946613.63,3,7.56,58.41,Elevated,90-100%,171
1259,Central,31,645,58.85,551251.96,3,8.67,56.4,Elevated,Under 70%,210
1260,North,51,748,79.03,796289.5,2,5.11,60.33,Elevated,70-85%,138
1261,East,54,603,51.03,406451.67,4,4.5,57.91,Elevated,Under 70%,180
1262,Central,7,884,85.07,649680.65,2,8.54,51.4,Moderate,85-90%,284
1263,Central,25,1416,70.8,299770.0,2,10.98,59.2,Elevated,70-85%,161
1264,East,1,990,58.17,586382.43,3,4.49,35.83,Low,Under 70%,470
1265,West,7,1382,91.84,708014.5,2,9.92,56.19,Elevated,90-100%,215
1266,South,28,1456,80.66,242047.94,2,1.59,44.58,Moderate,70-85%,388
1267,Central,33,807,56.02,729134.25,2,0.06,36.13,Low,Under 70%,468
1268,Central,1,1302,81.21,732888.5,2,7.85,46.46,Moderate,70-85%,361
1269,South,41,656,51.92,146849.01,3,8.36,57.7,Elevated,Under 70%,183
1270,South,30,1094,96.69,560703.59,2,4.53,56.07,Elevated,90-100%,217
1271,East,25,497,51.45,543318.44,3,5.32,45.08,Moderate,Under 70%,380
1272,North,42,1362,57.04,854389.64,3,8.55,60.01,Elevated,Under 70%,143
1273,West,53,862,51.27,834449.4,2,6.91,56.4,Elevated,Under 70%,210
1274,Central,26,697,94.7,523865.06,5,0.41,54.63,Moderate,90-100%,235
1275,South,12,1325,50.84,784102.43,5,0.54,36.13,Low,Under 70%,468
1276,South,28,1242,69.06,442773.24,0,8.19,48.3,Moderate,Under 70%,324
1277,Central,18,1006,75.51,644303.72,4,3.06,47.97,Moderate,70-85%,333
1278,South,36,747,55.96,214730.42,6,6.38,61.95,Elevated,Under 70%,107
1279,South,25,534,45.68,965893.62,1,10.79,48.28,Moderate,Under 70%,325
1280,West,11,1351,94.04,940299.52,2,7.71,54.03,Moderate,90-100%,238
1281,Central,11,1289,53.85,208721.66,3,8.69,46.94,Moderate,Under 70%,350
1282,North,31,1489,96.06,499452.71,3,0.68,51.58,Moderate,90-100%,280
1283,Central,31,505,65.56,70134.43,4,10.88,65.83,Elevated,Under 70%,66
1284,North,22,1113,48.87,448932.63,5,5.06,48.58,Moderate,Under 70%,319
1285,North,29,813,65.34,668789.59,2,9.75,56.7,Elevated,Under 70%,202
1286,South,54,1304,53.66,975955.59,2,2.59,48.88,Moderate,Under 70%,314
1287,West,7,838,85.94,989815.97,1,2.76,37.1,Low,85-90%,459
1288,Central,37,736,80.86,616223.17,3,6.89,61.84,Elevated,70-85%,110
1289,West,18,436,60.45,476515.34,2,7.24,45.82,Moderate,Under 70%,372
1290,North,20,1001,104.28,554776.59,4,10.22,71.72,Critical,Over 100%,22
1291,South,19,551,94.9,712903.14,2,5.1,52.27,Moderate,90-100%,269
1292,West,15,411,95.2,214848.59,4,10.92,68.4,Elevated,90-100%,41
1293,South,12,1007,102.87,358749.96,3,7.94,60.54,Elevated,Over 100%,134
1294,East,14,693,89.63,508692.37,4,7.03,58.55,Elevated,85-90%,170
1295,North,13,1286,68.15,252286.1,2,8.25,48.14,Moderate,Under 70%,329
1296,East,48,869,81.99,704615.97,2,7.89,65.58,Elevated,70-85%,69
1297,South,9,689,86.81,869611.86,0,3.5,36.64,Low,85-90%,464
1298,South,46,598,57.91,589640.79,4,7.37,62.51,Elevated,Under 70%,101
1299,North,32,995,92.93,332495.03,1,4.22,52.12,Moderate,90-100%,271
1300,East,18,1287,100.62,641311.84,6,2.65,60.69,Elevated,Over 100%,128
1301,Central,47,1352,57.69,126599.83,1,0.17,39.45,Low,Under 70%,438
1302,East,15,985,76.11,761779.45,3,5.29,48.41,Moderate,70-85%,322
1303,South,9,477,60.87,291170.23,3,7.51,45.88,Moderate,Under 70%,371
1304,West,45,613,93.76,373090.74,3,3.05,61.23,Elevated,90-100%,115
1305,Central,39,481,81.59,707264.22,0,5.19,50.46,Moderate,70-85%,297
1306,Central,26,1072,52.93,419225.15,4,10.82,59.92,Elevated,Under 70%,146
1307,West,10,1384,80.79,511443.1,3,4.63,46.5,Moderate,70-85%,360
1308,South,46,524,47.62,237177.27,2,4.33,47.35,Moderate,Under 70%,346
1309,North,22,1102,87.46,101228.48,3,10.0,64.04,Elevated,85-90%,83
1310,North,4,788,90.48,952242.91,3,7.88,53.5,Moderate,90-100%,246
1311,North,11,869,91.64,139519.97,2,11.35,60.59,Elevated,90-100%,132
1312,Central,27,1165,80.13,680873.37,4,0.58,48.0,Moderate,70-85%,331
1313,Central,24,1020,82.69,478226.32,2,5.29,50.99,Moderate,70-85%,291
1314,North,3,1133,57.59,515983.27,2,4.65,33.78,Low,Under 70%,480
1315,Central,35,638,46.62,436502.18,4,10.7,61.39,Elevated,Under 70%,114
1316,North,11,900,48.78,238758.77,2,11.18,47.39,Moderate,Under 70%,343
1317,East,3,387,74.51,784205.04,4,8.84,53.23,Moderate,70-85%,249
1318,West,11,423,73.68,678331.93,3,0.54,36.58,Low,70-85%,465
1319,West,29,952,66.62,492590.07,4,6.12,55.83,Elevated,Under 70%,219
1320,East,17,461,64.45,482154.53,7,6.24,59.62,Elevated,Under 70%,153
1321,Central,18,1016,95.88,376562.39,3,5.32,55.6,Elevated,90-100%,222
1322,Central,5,1135,101.88,105456.27,3,11.16,63.88,Elevated,Over 100%,84
1323,West,22,1395,75.24,359444.04,2,5.7,48.77,Moderate,70-85%,317
1324,East,47,586,46.43,414154.43,6,2.89,56.51,Elevated,Under 70%,207
1325,North,22,753,63.37,717155.58,3,3.98,44.77,Moderate,Under 70%,386
1326,South,41,1128,98.18,136404.59,1,5.91,60.67,Elevated,90-100%,131
1327,West,5,633,93.0,447810.54,1,4.07,41.04,Moderate,90-100%,426
1328,Central,42,619,95.21,59947.58,3,8.13,70.62,Critical,90-100%,26
1329,Central,1,857,70.05,937724.13,3,5.41,41.24,Moderate,70-85%,424
1330,East,28,1086,75.14,810075.14,1,6.33,49.4,Moderate,70-85%,311
1331,West,46,1436,64.81,134395.05,4,9.07,67.98,Elevated,Under 70%,46
1332,West,43,383,96.66,709538.42,3,6.47,68.14,Elevated,90-100%,44
1333,East,3,1115,91.41,805533.04,1,5.02,41.66,Moderate,90-100%,417
1334,West,23,1449,67.97,816151.65,6,3.84,55.27,Elevated,Under 70%,224
1335,Central,6,1172,47.58,842848.17,2,4.5,31.67,Low,Under 70%,486
1336,North,11,1431,53.28,749633.33,3,0.47,30.32,Low,Under 70%,492
1337,East,4,1445,80.41,127597.94,1,9.87,48.46,Moderate,70-85%,320
